timestamp(ms),Moisture,
"1717686834.422","499",
"1717686834.522","499",
"1717686834.622","499",
"1717686834.722","499",
"1717686834.822","498",
"1717686834.922","499",
"1717686835.022","500",
"1717686835.122","498",
"1717686835.222","498",
"1717686835.322","498",
"1717686835.422","498",
"1717686835.522","498",
"1717686835.623","499",
"1717686835.722","497",
"1717686835.822","497",
"1717686835.922","499",
"1717686836.022","499",
"1717686836.122","499",
"1717686836.222","499",
"1717686836.322","500",
"1717686836.422","499",
"1717686836.522","498",
"1717686836.622","499",
"1717686836.722","498",
"1717686836.822","499",
"1717686836.922","498",
"1717686837.022","499",
"1717686837.122","498",
"1717686837.222","499",
"1717686837.322","498",
"1717686837.422","498",
"1717686837.522","499",
"1717686837.622","499",
"1717686837.723","499",
"1717686837.822","500",
"1717686837.922","499",
"1717686838.022","498",
"1717686838.123","499",
"1717686838.222","499",
"1717686838.323","499",
"1717686838.422","499",
"1717686838.522","499",
"1717686838.622","499",
"1717686838.723","499",
"1717686838.822","498",
"1717686838.923","498",
"1717686839.022","499",
"1717686839.122","498",
"1717686839.222","502",
"1717686839.322","499",
"1717686839.422","498",
"1717686839.523","497",
"1717686839.622","499",
"1717686839.723","498",
"1717686839.822","499",
"1717686839.923","497",
"1717686840.022","499",
"1717686840.122","499",
"1717686840.222","499",
"1717686840.322","499",
"1717686840.422","499",
"1717686840.522","502",
"1717686840.622","499",
"1717686840.722","498",
"1717686840.822","498",
"1717686840.922","498",
"1717686841.022","499",
"1717686841.122","498",
"1717686841.222","498",
"1717686841.322","498",
"1717686841.422","498",
"1717686841.522","502",
"1717686841.622","499",
"1717686841.722","500",
"1717686841.823","498",
"1717686841.922","499",
"1717686842.022","498",
"1717686842.122","494",
"1717686842.223","499",
"1717686842.322","499",
"1717686842.423","499",
"1717686842.522","498",
"1717686842.622","499",
"1717686842.722","498",
"1717686842.823","498",
"1717686842.922","498",
"1717686843.023","499",
"1717686843.122","498",
"1717686843.222","501",
"1717686843.322","496",
"1717686843.422","501",
"1717686843.522","496",
"1717686843.622","499",
"1717686843.722","499",
"1717686843.822","499",
"1717686843.922","499",
"1717686844.022","499",
"1717686844.122","499",
"1717686844.222","498",
"1717686844.323","499",
"1717686844.422","498",
"1717686844.523","499",
"1717686844.622","498",
"1717686844.722","498",
"1717686844.823","498",
"1717686844.923","499",
"1717686845.022","498",
"1717686845.123","500",
"1717686845.222","497",
"1717686845.323","498",
"1717686845.423","498",
"1717686845.522","499",
"1717686845.622","499",
"1717686845.723","499",
"1717686845.822","499",
"1717686845.923","499",
"1717686846.022","499",
"1717686846.123","499",
"1717686846.222","498",
"1717686846.323","499",
"1717686846.422","499",
"1717686846.523","499",
"1717686846.622","499",
"1717686846.722","498",
"1717686846.822","498",
"1717686846.922","498",
"1717686847.022","499",
"1717686847.122","498",
"1717686847.222","500",
"1717686847.322","499",
"1717686847.423","497",
"1717686847.522","499",
"1717686847.623","499",
"1717686847.722","499",
"1717686847.823","499",
"1717686847.923","499",
"1717686848.023","499",
"1717686848.122","499",
"1717686848.222","500",
"1717686848.322","498",
"1717686848.422","499",
"1717686848.522","499",
"1717686848.622","499",
"1717686848.722","499",
"1717686848.822","496",
"1717686848.922","498",
"1717686849.022","499",
"1717686849.122","500",
"1717686849.222","499",
"1717686849.322","500",
"1717686849.422","500",
"1717686849.522","500",
"1717686849.622","500",
"1717686849.722","499",
"1717686849.821","503",
"1717686849.922","499",
"1717686850.021","500",
"1717686850.122","499",
"1717686850.222","499",
"1717686850.322","499",
"1717686850.422","500",
"1717686850.522","499",
"1717686850.622","500",
"1717686850.722","498",
"1717686850.822","499",
"1717686850.922","499",
"1717686851.022","498",
"1717686851.122","502",
"1717686851.222","500",
"1717686851.322","495",
"1717686851.422","498",
"1717686851.522","499",
"1717686851.622","499",
"1717686851.722","500",
"1717686851.822","499",
"1717686851.922","500",
"1717686852.022","500",
"1717686852.122","499",
"1717686852.222","502",
"1717686852.322","500",
"1717686852.422","499",
"1717686852.522","499",
"1717686852.622","500",
"1717686852.722","502",
"1717686852.822","499",
"1717686852.922","500",
"1717686853.022","499",
"1717686853.123","494",
"1717686853.222","499",
"1717686853.322","500",
"1717686853.422","498",
"1717686853.522","503",
"1717686853.622","500",
"1717686853.721","500",
"1717686853.822","503",
"1717686853.922","500",
"1717686854.022","500",
"1717686854.122","499",
"1717686854.222","500",
"1717686854.322","497",
"1717686854.422","498",
"1717686854.521","500",
"1717686854.622","500",
"1717686854.722","500",
"1717686854.822","502",
"1717686854.922","500",
"1717686855.022","500",
"1717686855.122","500",
"1717686855.223","498",
"1717686855.322","500",
"1717686855.422","502",
"1717686855.522","499",
"1717686855.622","499",
"1717686855.722","500",
"1717686855.822","500",
"1717686855.922","500",
"1717686856.022","500",
"1717686856.122","500",
"1717686856.223","503",
"1717686856.322","499",
"1717686856.423","497",
"1717686856.522","497",
"1717686856.622","494",
"1717686856.722","499",
"1717686856.822","500",
"1717686856.922","500",
"1717686857.022","499",
"1717686857.122","498",
"1717686857.222","500",
"1717686857.322","500",
"1717686857.422","499",
"1717686857.522","500",
"1717686857.622","499",
"1717686857.722","500",
"1717686857.822","500",
"1717686857.922","500",
"1717686858.022","500",
"1717686858.122","500",
"1717686858.222","500",
"1717686858.323","500",
"1717686858.422","500",
"1717686858.522","500",
